event_id,cumulative_total_tokens,reported_last_total_tokens,observed_delta_total_tokens,cumulative_input,reported_last_input,observed_delta_input,cumulative_cached_input,reported_last_cached_input,observed_delta_cached_input,cumulative_cache_write_input,reported_last_cache_write_input,observed_delta_cache_write_input,cumulative_output,reported_last_output,observed_delta_output,cumulative_reasoning_output,reported_last_reasoning_output,observed_delta_reasoning_output
1189,16641765,155712,155712,16500573,154877,154877,15727744,151680,151680,0,0,0,141192,835,835,58188,420,420
1196,16798417,156652,156652,16657131,156558,156558,15882496,154752,154752,0,0,0,141286,94,94,58228,40,40
1214,16958215,159798,159798,16814057,156926,156926,16038912,156416,156416,0,0,0,144158,2872,2872,60764,2536,2536
1232,17123925,165710,165710,16974936,160879,160879,16195712,156800,156800,0,0,0,148989,4831,4831,63421,2657,2657
1240,17289896,165971,165971,17140705,165769,165769,16356480,160768,160768,0,0,0,149191,202,202,63435,14,14
1250,17469038,179142,179142,17316427,175722,175722,16522112,165632,165632,0,0,0,152611,3420,3420,64210,775,775
1258,17656358,187320,187320,17503572,187145,187145,16697728,175616,175616,0,0,0,152786,175,175,64262,52,52
1272,17846836,190478,190478,17691687,188115,188115,16884736,187008,187008,0,0,0,155149,2363,2363,64988,726,726
1279,18037820,190984,190984,17882507,190820,190820,17072768,188032,188032,0,0,0,155313,164,164,65084,96,96
1286,18230614,192794,192794,18073770,191263,191263,17263488,190720,190720,0,0,0,156844,1531,1531,65370,286,286
1292,18424056,193442,193442,18266837,193067,193067,17454592,191104,191104,0,0,0,157219,375,375,65673,303,303
1306,18619541,195485,195485,18461549,194712,194712,17647488,192896,192896,0,0,0,157992,773,773,66189,516,516
1322,18819717,200176,200176,18658961,197412,197412,17842048,194560,194560,0,0,0,160756,2764,2764,68745,2556,2556
1341,19034298,214581,214581,18870234,211273,211273,18039296,197248,197248,0,0,0,164064,3308,3308,71828,3083,3083
1349,19249335,215037,215037,19084991,214757,214757,18250496,211200,211200,0,0,0,164344,280,280,71879,51,51
1354,19464590,215255,215255,19300203,215212,215212,18465152,214656,214656,0,0,0,164387,43,43,71879,0,0
1372,19691364,226774,226774,19523758,223555,223555,18680192,215040,215040,0,0,0,167606,3219,3219,74939,3060,3060
1382,19927546,236182,236182,19758971,235213,235213,18903680,223488,223488,0,0,0,168575,969,969,75650,711,711
1390,20165107,237561,237561,19996211,237240,237240,19138816,235136,235136,0,0,0,168896,321,321,75848,198,198
1399,20410983,245876,245876,20239589,243378,243378,19376000,237184,237184,0,0,0,171394,2498,2498,76854,1006,1006
1406,20410983,14508,0,20239589,0,0,19376000,0,0,0,0,0,171394,0,0,76854,0,0
1417,20433419,22436,22436,20261747,22158,22158,19387904,11904,11904,0,0,0,171672,278,278,76879,25,25
1424,20458701,25282,25282,20286839,25092,25092,19409920,22016,22016,0,0,0,171862,190,190,76879,0,0
1433,20494941,36240,36240,20319644,32805,32805,19434880,24960,24960,0,0,0,175297,3435,3435,77395,516,516
1442,20531613,36672,36672,20355908,36264,36264,19467520,32640,32640,0,0,0,175705,408,408,77504,109,109
1450,20569315,37702,37702,20393361,37453,37453,19503616,36096,36096,0,0,0,175954,249,249,77585,81,81
1458,20618287,48972,48972,20442170,48809,48809,19540864,37248,37248,0,0,0,176117,163,163,77611,26,26
1468,20677164,58877,58877,20500619,58449,58449,19589504,48640,48640,0,0,0,176545,428,428,77776,165,165
1476,20739299,62135,62135,20562520,61901,61901,19647744,58240,58240,0,0,0,176779,234,234,77848,72,72
1485,20808764,69465,69465,20630764,68244,68244,19709440,61696,61696,0,0,0,178000,1221,1221,78055,207,207
1491,20878543,69779,69779,20700373,69609,69609,19777536,68096,68096,0,0,0,178170,170,170,78055,0,0
1501,20949834,71291,71291,20770974,70601,70601,19846912,69376,69376,0,0,0,178860,690,690,78602,547,547
1509,21029328,79494,79494,20850344,79370,79370,19917312,70400,70400,0,0,0,178984,124,124,78629,27,27
1517,21119488,90160,90160,20939901,89557,89557,19996544,79232,79232,0,0,0,179587,603,603,79081,452,452
1528,21210826,91338,91338,21030327,90426,90426,20085504,88960,88960,0,0,0,180499,912,912,79099,18,18
1544,21314090,103264,103264,21131044,100717,100717,20175744,90240,90240,0,0,0,183046,2547,2547,81374,2275,2275
1553,21426137,112047,112047,21242641,111597,111597,20276096,100352,100352,0,0,0,183496,450,450,81534,160,160
1565,21544424,118287,118287,21358155,115514,115514,20387584,111488,111488,0,0,0,186269,2773,2773,82624,1090,1090
1567,21544424,118287,0,21358155,115514,0,20387584,111488,0,0,0,0,186269,2773,0,82624,1090,0
1574,21664273,119849,119849,21477844,119689,119689,20420224,32640,32640,0,0,0,186429,160,160,82708,84,84
1581,21788259,123986,123986,21599777,121933,121933,20539776,119552,119552,0,0,0,188482,2053,2053,82782,74,74
1588,21912469,124210,124210,21723822,124045,124045,20661632,121856,121856,0,0,0,188647,165,165,82870,88,88
1602,22040037,127568,127568,21848716,124894,124894,20785536,123904,123904,0,0,0,191321,2674,2674,83400,530,530
1610,22168669,128632,128632,21976760,128044,128044,20910336,124800,124800,0,0,0,191909,588,588,83825,425,425
1618,22305499,136830,136830,22113434,136674,136674,21038208,127872,127872,0,0,0,192065,156,156,83867,42,42
1628,22454789,149290,149290,22260410,146976,146976,21174784,136576,136576,0,0,0,194379,2314,2314,84472,605,605
1645,22607314,152525,152525,22410035,149625,149625,21321600,146816,146816,0,0,0,197279,2900,2900,86965,2493,2493
1657,22763156,155842,155842,22563248,153213,153213,21471104,149504,149504,0,0,0,199908,2629,2629,87522,557,557
1664,22920604,157448,157448,22720184,156936,156936,21624192,153088,153088,0,0,0,200420,512,512,87957,435,435
1670,23079101,158497,158497,22878493,158309,158309,21780992,156800,156800,0,0,0,200608,188,188,88056,99,99
1682,23239039,159938,159938,23038261,159768,159768,21939200,158208,158208,0,0,0,200778,170,170,88056,0,0
1692,23403666,164627,164627,23201214,162953,162953,22098816,159616,159616,0,0,0,202452,1674,1674,89090,1034,1034
1697,23403666,164627,0,23201214,162953,0,22098816,159616,0,0,0,0,202452,1674,0,89090,1034,0
1707,23579712,176046,176046,23376311,175097,175097,22218368,119552,119552,0,0,0,203401,949,949,89917,827,827
1716,23759705,179993,179993,23554078,177767,177767,22393344,174976,174976,0,0,0,205627,2226,2226,90433,516,516
1725,23940431,180726,180726,23734130,180052,180052,22571008,177664,177664,0,0,0,206301,674,674,90949,516,516
1732,24130104,189673,189673,23923343,189213,189213,22750976,179968,179968,0,0,0,206761,460,460,91012,63,63
1739,24320113,190009,190009,24113122,189779,189779,22940032,189056,189056,0,0,0,206991,230,230,91155,143,143
1746,24513959,193846,193846,24306781,193659,193659,23129728,189696,189696,0,0,0,207178,187,187,91227,72,72
1762,24718817,204858,204858,24508781,202000,202000,23323264,193536,193536,0,0,0,210036,2858,2858,93815,2588,2588
1774,24933580,214763,214763,24721801,213020,213020,23525120,201856,201856,0,0,0,211779,1743,1743,95367,1552,1552
1782,25159862,226282,226282,24947907,226106,226106,23737984,212864,212864,0,0,0,211955,176,176,95401,34,34
1798,25398191,238329,238329,25183528,235621,235621,23964032,226048,226048,0,0,0,214663,2708,2708,97948,2547,2547
1804,25398191,13776,0,25183528,0,0,23964032,0,0,0,0,0,214663,0,0,97948,0,0
1814,25419722,21531,21531,25204871,21343,21343,23975936,11904,11904,0,0,0,214851,188,188,98000,52,52
