     ● G  GAP 4.16.1 of 2026-08-23
  ● ●  A  https://www.gap-system.org
     ● P  Architecture: x86_64-pc-linux-gnu-default64-kv11
 Configuration:  gmp 6.3.0, GASMAN, readline
 Loading the library and packages ...
 Packages:   AClib 1.4, Alnuth 4.0.2, AtlasRep 2.1.12, AutoDoc 2026.06.30, 
             AutPGrp 1.12.0, Browse 1.8.23, CaratInterface 2.3.11, 
             CRISP 1.4.11, Cryst 4.1.32, CrystCat 1.1.13, CTblLib 1.3.11, 
             FactInt 1.7.0, FGA 1.5.0, Forms 1.3.0, GAPDoc 1.6.10, 
             genss 1.6.10, IO 4.10.0, IRREDSOL 1.4.6, LAGUNA 3.10.1, 
             orb 5.1.0, PackageManager 1.6.4, Polenta 1.3.11, Polycyclic 2.18, 
             PrimGrp 4.0.3, RadiRoot 2.10, recog 1.5.1, ResClasses 4.7.4, 
             SmallGrp 1.7.0, Sophus 1.27, SpinSym 1.5.2, StandardFF 1.0, 
             TomLib 1.2.11, TransGrp 3.6.5, utils 0.98
 Try '??help' for help. See also '?copyright', '?cite' and '?authors'
BEGIN dimension=5 field=5
GROUP n=6 d=1 k=99 order=6144 cyclic=false affine_classes=244 ms=240
GROUP n=6 d=1 k=100 order=6144 cyclic=false affine_classes=338 ms=285
GROUP n=6 d=1 k=101 order=6144 cyclic=false affine_classes=274 ms=243
GROUP n=6 d=1 k=102 order=6144 cyclic=false affine_classes=368 ms=294
GROUP n=6 d=1 k=103 order=6144 cyclic=false affine_classes=244 ms=235
GROUP n=6 d=1 k=104 order=6144 cyclic=false affine_classes=800 ms=511
GROUP n=6 d=1 k=105 order=1536 cyclic=false affine_classes=388 ms=284
GROUP n=6 d=1 k=106 order=3072 cyclic=false affine_classes=608 ms=345
GROUP n=6 d=1 k=107 order=3072 cyclic=false affine_classes=436 ms=303
GROUP n=6 d=1 k=108 order=1536 cyclic=false affine_classes=952 ms=297
GROUP n=6 d=1 k=109 order=1536 cyclic=false affine_classes=376 ms=202
GROUP n=6 d=1 k=110 order=1536 cyclic=false affine_classes=374 ms=215
GROUP n=6 d=1 k=111 order=1536 cyclic=false affine_classes=398 ms=252
GROUP n=6 d=1 k=112 order=768 cyclic=false affine_classes=436 ms=205
GROUP n=6 d=1 k=113 order=384 cyclic=false affine_classes=752 ms=194
GROUP n=6 d=1 k=114 order=768 cyclic=false affine_classes=400 ms=241
GROUP n=6 d=1 k=115 order=1536 cyclic=false affine_classes=376 ms=202
GROUP n=6 d=1 k=116 order=1536 cyclic=false affine_classes=374 ms=200
GROUP n=6 d=1 k=117 order=768 cyclic=false affine_classes=608 ms=197
GROUP n=6 d=1 k=118 order=768 cyclic=false affine_classes=436 ms=177
GROUP n=6 d=1 k=119 order=6144 cyclic=false affine_classes=568 ms=358
GROUP n=6 d=1 k=120 order=3072 cyclic=false affine_classes=770 ms=313
GROUP n=6 d=1 k=121 order=3072 cyclic=false affine_classes=392 ms=230
GROUP n=6 d=1 k=122 order=3072 cyclic=false affine_classes=602 ms=301
GROUP n=6 d=1 k=123 order=3072 cyclic=false affine_classes=332 ms=218
GROUP n=6 d=1 k=124 order=6144 cyclic=false affine_classes=338 ms=353
GROUP n=6 d=1 k=125 order=3072 cyclic=false affine_classes=448 ms=244
GROUP n=6 d=1 k=126 order=1536 cyclic=false affine_classes=440 ms=208
GROUP n=6 d=1 k=127 order=768 cyclic=false affine_classes=640 ms=201
